p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
3,0,1,0,0,2,24,-92416.4276078714,-92287.8685732177,False,161.08042620000015,
3,0,1,1,0,0,24,-92348.60892213133,-92227.19205606949,False,46.507578900000226,
3,0,1,1,0,1,24,-92355.88606186572,-92227.32702721201,False,50.8996232999998,
3,0,1,1,0,2,24,-92443.52456038955,-92307.82335714396,False,145.15311849999853,
3,0,1,2,0,0,24,-92490.67481185208,-92362.11577719837,False,124.80441379999866,
3,0,1,2,0,1,24,-92479.65028605761,-92343.94908281203,False,221.4459251999997,
3,0,1,2,0,2,24,-92545.0158475624,-92402.17247572495,True,276.19217149999895,
3,0,2,0,0,0,24,-92182.05390163523,-92060.63703557338,False,12.964883399999962,
3,0,2,0,0,1,24,-92317.93460016386,-92189.37556551016,False,72.82802860000083,
3,0,2,0,0,2,24,-92417.17603637703,-92281.47483313145,False,216.06655280000086,
3,0,2,1,0,0,24,-92348.78645160486,-92220.22741695115,False,35.08103530000153,
3,0,2,1,0,1,24,-92356.49275900226,-92220.79155575667,False,37.06045170000107,
3,0,2,1,0,2,24,-92444.13592703902,-92301.29255520157,False,149.60545320000165,
3,0,2,2,0,0,24,-92490.74817347847,-92355.04697023288,False,136.42466369999966,
3,0,2,2,0,1,24,-92479.44481324339,-92336.60144140593,False,141.94462130000102,
